Vectors;;;;;;;;;;;;;;;;;;;;;;;;;
Let vectors v and w. v + w = (5, 1) and v - w = (1, 5). Compute v and w. ;v = (3,3) and w = (2, -2);v = (3,-3) and w = (2, -2);v = (5,2) and w = (4, -3);v = (-3,3) and w = (-2, -2);;;;;;;;;;;;;;;;;;;;;
Let vectors v = (2,1) and w = (1, 2). Find 3v + w and cv + dw. ;3v + w = (7, 5) and cv + dw = (2c + d, c + 2d);3v + w = (7, -5) and cv + dw = (2c + d, -c + 2d);3v + w = (7, 5) and cv + dw = (c + 2d, c + 2d);3v + w = (7, 5) and cv + dw = (2c + d, -c + 2d);;;;;;;;;;;;;;;;;;;;;
Let vectors v = (1, -2, 1) and w = (0, 1, -1). Find cv + dw. Then, find c and d so that cv + dw = (3, 3, -6);"cv + dw = (c, -2c + d, c - d); c = 3 and d = 9";"cv + dw = (c, 2c - d, c - d); c = 3 and d = 9";"cv + dw = (c, -2c + d, c - 2d); c = -3 and d = 9";"cv + dw = (c, -2c + d, c - d); c = -3 and d = -9";;;;;;;;;;;;;;;;;;;;;
Let vectors u = (-0.6, 0.8), v = (3, 4) and w = (8, 6). Calculate u * v, u * w, u * (v + w) and w * v. ;"u * v = 1.4; u * w = 0; u * (v + w) = 1.4; w * v = 48";"u * v = -1.4; u * w = 0; u * (v + w) = 1.4; w * v = 48";"u * v = 1.4; u * w = 0; u * (v + w) = -1.4; w * v = 48";"u * v = -1.4; u * w = 0; u * (v + w) = -1.4; w * v = 48";;;;;;;;;;;;;;;;;;;;;
Let vectors u = (-0.6, 0.8), v = (3, 4) and w = (8, 6). Compute the lengths of these vectors. ;u's length = 1, v's length = 5, w's length = 10;u's length = -1, v's length = 5, w's length = 10;u's length = 1, v's length = 6, w's length = 10;u's length = 1, v's length = 5, w's length = 11;;;;;;;;;;;;;;;;;;;;;
Let vectors v = (2, 2, -1) and w = (2, -1, 2). Is the angle between these two vectors 90¡ (perpendiculars)?;TRUE ;FALSE;;;;;;;;;;;;;;;;;;;;;;;
Let vectors v = (3, 1) and w = (-1, -2). Calculate the angle between these two vectors. ;3¹/4 radians;-3¹/4 radians;2¹/3 radians;¹/4 radians;;;;;;;;;;;;;;;;;;;;;
Let vectors u, v and w in three dimensions. Let u be perpendicular to v and w. v and w are parallel. ;TRUE ;False, v and w can be any vectors in the plane perpendicular to u;;;;;;;;;;;;;;;;;;;;;;;
Let vectors u, v and w. Let u be perpendicular to v and w. u is perpendicular to v and 2w. ;TRUE ;FALSE;;;;;;;;;;;;;;;;;;;;;;;
Let vectors u and v be perpendicular unit vectors. u-v's length = Ã2;TRUE ;FALSE;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Matrices;;;;;;;;;;;;;;;;;;;;;;;;;
Is this matrix symmetric, skew symmetric or neither? [(1, -3, 3) (-3, 4, -3) (3, 3, 0)] ;Neither;Skew symmetric;Symmetric;;;;;;;;;;;;;;;;;;;;;;
Is this matrix symmetric, skew symmetric or neither? [(0, -3, -3) (3, 0, 1) (3, -1, 0)] ;Skew symmetric;Neither;Symmetric;;;;;;;;;;;;;;;;;;;;;;
Is this matrix symmetric, skew symmetric or neither? [(0, -3, -3) (-3, 0, 3) (-3, 3, 1)] ;Symmetric;Neither;Skew symmetric;;;;;;;;;;;;;;;;;;;;;;
Is this matrix symmetric, skew symmetric or neither? [(1, 2, 0) (2, 1, 0)] ;Neither;Skew symmetric;Symmetric;;;;;;;;;;;;;;;;;;;;;;
Let matrices A = [(1, -2, 3) (0, -5, 4) (4, -3, 8)], B = [(1, 2) (0, 4) (3, 7)] and C = [(1) (2) (3)]. Compute the product AB = [(10, 15) (12, 8) (28, 52)]. ;It exists and it's correct;It exists but it's not correct;It doesn't exist;;;;;;;;;;;;;;;;;;;;;;
Let matrices A = [(1, -2, 3) (0, -5, 4) (4, -3, 8)], B = [(1, 2) (0, 4) (3, 7)] and C = [(1) (2) (3)]. Compute the product BA = [(10, 15, 8) (12, 12, 5) (28, 2, 3)]. ;It doesn't exist;It exists and it's correct;It exists but it's not correct;;;;;;;;;;;;;;;;;;;;;;
Let matrices A = [(1, -2, 3) (0, -5, 4) (4, -3, 8)], B = [(1, 2) (0, 4) (3, 7)] and C = [(1) (2) (3)]. Compute the product CB = [(8, 15) (12, 22) (8, 42)]. ;It doesn't exist;It exists and it's correct;It exists but it's not correct;;;;;;;;;;;;;;;;;;;;;;
"Consider the following linear system
{x + y + z = 2
{x + 2y + z = 3
{2x + 3y + 2z = 5
Determine how many solutions has the system. ";Infinitely many solutions;One solution;No solution;;;;;;;;;;;;;;;;;;;;;;
"Consider the following linear system
{x + y + z = 2
{x + 2y + z = 3
{2x + 3y + 2z = 9
Determine how many solutions has the system. ";No solution;One solution;Infinitely many solutions;;;;;;;;;;;;;;;;;;;;;;
Let matrix A = [(1, 2, 4) (-2, 3, 1) (-4, 1, 2)] and x = (2, 2, 3). Compute the product Ax by dot products of the rows with the column vector. ;Ax = (18, 5, 0);Ax = (-18, 5, 0);Ax = (18, -5, 0);Ax = (-18, -5, 0);;;;;;;;;;;;;;;;;;;;;
Let matrix A = [(2, 1, 0, 0) (1, 2, 1, 0) (0, 1, 2, 1) (0, 0, 1, 2)] and x = (1, 1, 1, 2). Compute the product Ax by dot products of the rows with the column vector. ;Ax = (3, 4, 5, 5);Ax = (4, 3, 5, 5);Ax = (5, 4, 5, 3);Ax = (5, 5, 4, 3);;;;;;;;;;;;;;;;;;;;;
What is the 2 by 2 identity matrix I such that I times (x, y) equals (x, y)?;I = [(1, 0) (0, 1)];I = [(1, 1) (1, 1)];I = [(0, 1) (1, 0)];It doesn't exist;;;;;;;;;;;;;;;;;;;;;
What is the 2 by 2 exchange matrix P such that P times (x, y) equals (y, x)?;P = [(0, 1) (1, 0)];P = [(1, 0) (0, 1)];P = [(1, 1) (1, 1)];It doesn't exist;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Gaussian elimination ;;;;;;;;;;;;;;;;;;;;;;;;;
"What multiple L2 of equation 1 should be subtracted from equation 2 to eliminate
unknown x in equation 2 ? 
{2x + 3y = 1
{10x + 9y = 11";L21 =10/2=5;L21=-5;L21=10;L21=2;;;;;;;;;;;;;;;;;;;;;
"What multiple of equation 1 should be subtracted from equation 2 below, to eliminate
unknown x in equation 2 ?
{2x _ 4y = 6
{-x + 5y = 0";-1/2;1/2;2;1;;;;;;;;;;;;;;;;;;;;;
"Consider the following linear system
{3x + 2y = 10
{6x + 4y = ?
Choose a right side b1 which gives no solution and another right side _b2 which
gives infinitely many solutions. Systems having no solution or infinitely many
solutions are called singular.
";There is no solution unless b1=(10,20).;b1=(10,20) and b2=(20, 10);"b1=(20,10) and b2 can be any other two 
dimensional vector";There is no solution to such system.;;;;;;;;;;;;;;;;;;;;;
"Consider the following linear system:
{2x + by = 16
{4x + 8y = g
Choose a coefficient b that makes this system singular, then choose a right side coefficient g 
that makes it singular but solvable.";b=4 and g=32;b=8 and g=4;b=4 and g=4;b=0 and g=32;;;;;;;;;;;;;;;;;;;;;
"Consider the following linear system:
{ax + 3y = _3
{4x + 6y = 6.
For which numbers a does elimination break down (1) permanently and (2) temporarily?";"(1) a=2
(2) a=0";Any value of a breaks down elimination permanently;"(1)a=0
(2)a=3";"(1) a=2
(2) a=4";;;;;;;;;;;;;;;;;;;;;
"Consider the following linear system:
{kx + 3y = 6,
{3x + ky = _6.
For which three numbers k does elimination break down ?(1) Which of these cases is
fixed by a row exchange? (2) In each case, is the number of solutions 0 or 1 or ° ? (3)";"(1) k=3, k=-3 and k=0
(2) k=0
(3) no solution, infinite solutions and 
one solution";The system has no solution, regardless of the value of k.;"The only solutions are k=3 and k=-3, and both 
have only one solution";"(1) k=3, k=-3 and k=0
(2) k=0
(3) no solution, no soultion and infinetly many solutions";;;;;;;;;;;;;;;;;;;;;
"Use the Gauss-Jordan method to solve the following system:
{0x+4y _ 3z = 3,
{_x + 7y _ 5z = 4
{_x + 8y _ 6z = 5
Give the solution vector (x, y, z) as the answer.";(1, 0, _1);(1, 0, 1);(0, 1, _1);(1, 1, -1);;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Row echelon form;;;;;;;;;;;;;;;;;;;;;;;;;
